Country Name,Country Code,Year,Life Expectancy (Years),GDP/capita (USD),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate/100000),2005-1010 crime rate ratio,BLcode,sex,agefrom,ageto,Percentage of No Schooling Attained in Pop,Percentage of Primary Schooling Attained in Pop,Percentage of Complete Primary Schooling Attained in Pop,Percentage of Secondary Schooling Attained in Pop,Percentage of Complete Secondary Schooling Attained in Pop,Percentage of Tertiary Schooling Attained in Pop,Percentage of Complete Tertiary Schooling Attained in Pop,Average Years of Schooling Attained,Average Years of Primary Schooling Attained,Average Years of Secondary Schooling Attained,Average Years of Tertirary Schooling Attained,Population (1000s),region_code
Mauritania,MRT,2010,62.527,1610.92063018438,5.546791893199479,0.9579457341040286,27,MF,15,19,2.81,77.27,62.26,19.19,6.33,0.73,0.14,6.21,5.38,0.81,0.02,357,Sub-Saharan Africa
Mauritius,MUS,2005,72.4321951219512,5282.90602155635,3.300396752398944,,28,MF,15,19,0.75,15.17,4.29,81.95,45.43,2.13,0.0,10.1,5.63,4.42,0.04,96,Sub-Saharan Africa
Mauritius,MUS,2010,72.9673170731707,8000.37643182154,3.586305972091842,1.0866287422822969,28,MF,15,19,0.21,3.94,1.14,95.82,76.61,0.03,0.0,11.85,5.9,5.94,0.0,108,Sub-Saharan Africa
Malawi,MWI,2005,47.844,289.555214787188,3.0802859671093747,,25,MF,15,19,0.09,90.46,19.09,9.41,2.3,0.04,0.01,5.37,5.14,0.24,0.0,1362,Sub-Saharan Africa
Malawi,MWI,2010,55.564,478.668688469613,2.734776230311855,0.887831928435607,25,MF,15,19,0.09,86.35,21.58,13.52,2.87,0.04,0.01,4.55,4.05,0.49,0.0,1681,Sub-Saharan Africa
Malaysia,MYS,2005,73.555,5587.02477972975,2.6048944641936163,,94,MF,15,19,3.99,1.53,0.85,85.21,60.46,9.27,1.0,11.57,5.74,5.62,0.21,2288,East Asia and the Pacific
Malaysia,MYS,2010,74.493,9040.56849464524,2.509677685035683,0.9634469724333308,94,MF,15,19,1.68,3.83,2.04,82.61,63.63,11.88,1.28,11.96,5.85,5.86,0.26,2741,East Asia and the Pacific
Namibia,NAM,2005,50.931,3739.53171740574,21.745500641673942,,141,MF,15,19,22.67,59.35,34.02,17.78,7.11,0.2,0.04,5.22,4.53,0.69,0.0,239,Sub-Saharan Africa
Namibia,NAM,2010,56.665,5394.99671166874,20.86505519915403,0.9595113740066028,141,MF,15,19,23.72,57.37,34.72,18.71,7.11,0.2,0.04,5.27,4.55,0.71,0.0,289,Sub-Saharan Africa
Niger,NER,2005,53.411,321.723661184348,8.851606030582436,,31,MF,15,19,70.48,20.54,15.95,8.77,2.78,0.2,0.04,2.09,1.63,0.45,0.0,1483,Sub-Saharan Africa
